Ref,Val,Package,PosX,PosY,Rot,Side
"C1,"".1uF"",""C_0603_1608Metric"",147.269200,-78.435200,270.000000,top"
"C2,"".1uF"",""C_0603_1608Metric"",144.018000,-83.947000,180.000000,top"
"C3,""1nF"",""C_1210_3225Metric"",110.744000,-96.164400,180.000000,top"
"C4,""1nF"",""C_1210_3225Metric"",113.995200,-87.503000,90.000000,top"
"C5,"".1uF"",""C_1210_3225Metric"",110.744000,-92.837000,180.000000,top"
"C6,"".1uF"",""C_1210_3225Metric"",110.693200,-87.503000,90.000000,top"
"C7,"".1uF"",""C_0603_1608Metric"",118.846600,-83.693000,270.000000,top"
"C8,""1nF"",""C_0603_1608Metric"",120.751600,-92.049600,270.000000,top"
"C9,"".1uF"",""C_0603_1608Metric"",119.176800,-92.049600,270.000000,top"
"C10,""10uF"",""C_0603_1608Metric"",117.551200,-92.049600,270.000000,top"
"C11,""1nF"",""C_0603_1608Metric"",120.751600,-96.088200,90.000000,top"
"C12,"".1uF"",""C_0603_1608Metric"",123.621800,-83.693000,270.000000,top"
"C13,"".1uF"",""C_0603_1608Metric"",119.151400,-96.088200,90.000000,top"
"C14,""10uF"",""C_0603_1608Metric"",117.576600,-96.088200,90.000000,top"
"FID1,""Fiducial"",""Fiducial_1mm_Mask2mm"",110.744000,-57.150000,0.000000,top"
"FID2,""Fiducial"",""Fiducial_1mm_Mask2mm"",154.305000,-100.330000,0.000000,top"
"R1,""NC"",""R_1206_3216Metric"",107.188000,-97.942400,270.000000,top"
"R2,""47"",""R_0603_1608Metric"",144.526000,-90.982800,180.000000,top"
"R3,""100"",""R_0402_1005Metric"",121.208800,-84.963000,0.000000,top"
"R4,""100"",""R_0402_1005Metric"",125.679200,-82.550000,0.000000,top"
"R5,""10k"",""R_0603_1608Metric"",130.048000,-92.329000,90.000000,top"
"R6,""47"",""R_0603_1608Metric"",144.653500,-75.844400,180.000000,top"
"R7,""10k"",""R_0603_1608Metric"",128.524000,-92.329000,90.000000,top"
"R8,""22"",""R_0402_1005Metric"",139.573000,-73.025000,270.000000,top"
"R9,""1k"",""R_0603_1608Metric"",140.462000,-87.757000,180.000000,top"
"R10,""22"",""R_0402_1005Metric"",119.761000,-73.279000,90.000000,top"
"R11,""1k"",""R_0603_1608Metric"",107.315000,-92.075000,270.000000,top"
"R12,""1k"",""R_0603_1608Metric"",107.315000,-88.900000,90.000000,top"
"R13,""22"",""R_0402_1005Metric"",120.777000,-73.281000,90.000000,top"
"R14,""22"",""R_0402_1005Metric"",118.491000,-73.279000,90.000000,top"
"R15,""2.2k"",""R_0603_1608Metric"",147.320000,-86.741000,90.000000,top"
"R16,""2.2k"",""R_0603_1608Metric"",144.526000,-89.357200,180.000000,top"
"R17,""22"",""R_0402_1005Metric"",137.668000,-73.025000,270.000000,top"
"R18,""22"",""R_0402_1005Metric"",135.509000,-73.025000,270.000000,top"
"U1,""TLV333"",""SOT-23-6"",144.145000,-86.741000,0.000000,top"
"U3,""OPA320S"",""SOT-23-6"",144.272000,-78.486000,0.000000,top"
